seq,x_total,sign,x_part,memo,sec_t,sec_p,block1,block2,sec_text_t,sec_text_p,sub_sec_t,sub_sec_p
77,90,>=,99,,5.4.1,5.5.6,自主,調査,汚染の有無,汚染の種類,5.4.1,5.5.6
104,100,>=,90,汚染ありの内訳合計が少ない場合,5.5,5.4.1,自主,調査,汚染の種類,汚染の有無,5.5(計),5.4.1
70,110,>=,87,全件分の内訳を回答しているか,5.6,5.1,自主,調査,契機,受注件数,5.6(計),5.1
78,113,>=,115,,6.1,6.3.1,自主,対策,受注件数,汚染の種類,6.1,6.3.1
79,113,>=,116,,6.1,6.3.2,自主,対策,受注件数,汚染の種類,6.1,6.3.2
80,113,>=,117,,6.1,6.3.3,自主,対策,受注件数,汚染の種類,6.1,6.3.3
81,113,>=,118,,6.1,6.3.4,自主,対策,受注件数,汚染の種類,6.1,6.3.4
82,113,>=,119,,6.1,6.3.5,自主,対策,受注件数,汚染の種類,6.1,6.3.5
83,113,>=,120,,6.1,6.3.6,自主,対策,受注件数,汚染の種類,6.1,6.3.6
85,113,>=,123,,6.1,6.4.1,自主,対策,受注件数,措置,6.1,6.4.1
86,113,>=,124,,6.1,6.4.2,自主,対策,受注件数,措置,6.1,6.4.2
87,113,>=,125,,6.1,6.4.3,自主,対策,受注件数,措置,6.1,6.4.3
88,113,>=,126,,6.1,6.4.4,自主,対策,受注件数,措置,6.1,6.4.4
89,113,>=,127,,6.1,6.4.5,自主,対策,受注件数,措置,6.1,6.4.5
90,113,>=,128,,6.1,6.4.6,自主,対策,受注件数,措置,6.1,6.4.6
91,113,>=,129,,6.1,6.4.7,自主,対策,受注件数,措置,6.1,6.4.7
92,113,>=,130,,6.1,6.4.8,自主,対策,受注件数,措置,6.1,6.4.8
93,113,>=,131,,6.1,6.4.9,自主,対策,受注件数,措置,6.1,6.4.9
95,113,>=,133,,6.1,6.5.1,自主,対策,受注件数,契機,6.1,6.5.1
96,113,>=,134,,6.1,6.5.2,自主,対策,受注件数,契機,6.1,6.5.2
97,113,>=,135,,6.1,6.5.3,自主,対策,受注件数,契機,6.1,6.5.3
98,113,>=,136,,6.1,6.5.4,自主,対策,受注件数,契機,6.1,6.5.4
99,113,>=,137,,6.1,6.5.5,自主,対策,受注件数,契機,6.1,6.5.5
100,113,>=,138,,6.1,6.5.6,自主,対策,受注件数,契機,6.1,6.5.6
,113,>=,139,,6.1,6.5.7,自主,対策,受注件数,契機,6.1,6.5.7
,113,>=,140,,6.1,6.5.8,自主,対策,受注件数,契機,6.1,6.5.8
84,121,>=,113,全件分の内訳を回答しているか,6.3,6.1,自主,対策,汚染の種類,受注件数,6.3(計),6.1
94,132,>=,113,全件分の内訳を回答しているか,6.4,6.1,自主,対策,措置,受注件数,6.4(計),6.1
101,141,>=,113,,6.5,6.1,自主,対策,契機,受注件数,6.5(計),6.1
