id,pref,age,gender,FA
20159,東京都,78,男性,古代ふしぎ探訪非常に楽しく読みました
20160,栃木県,68,男性,いつも楽しみにしています。
20161,宮城県,71,女性,東北地方を走る蒸気機関車を特集してください
20162,滋賀県,70,男性,特になし
20163,宮城県,87,男性,２ページにわたって見開きの写真は迫力があって素晴らしい、この写真をインターネットで販売したら如何でしょうか
20164,秋田県,69,男性,縄文遺跡群に誘われました。
20165,広島県,69,男性,テーマ特集は大変面白かったです。
20166,神奈川県,73,男性,いつも楽しい旅情報に感謝しています
20167,愛媛県,76,男性,まだまだ旅意欲十分な私にとって本誌は一層意欲をかきたててくれます。これからもせそんな記事を届けて下さい。
20168,岩手県,70,女性,コロナ禍で大好きな旅を控えてる中、大変楽しく読んでいます。掲載企画に満足です。
20169,神奈川県,73,女性,歴史の旅特集を毎月連載の楽しみたい。
20170,京都府,70,女性,旅情報楽しみにしてます。
20171,福井県,71,男性,ハーフ・センチュリー・モアの広告は不要です。
20172,長野県,76,男性,歴史探訪を多めに企画ください
20173,静岡県,66,女性,なかなか旅行に行くことができませんが、誌上で旅行気分を味わっています。毎号楽しみにしています。今回は特に古代不思議探訪おもしろかったです。
20174,千葉県,69,男性,地域・県を絞った（例えば石川県等）観光名所の特集を掲載してほしい
20175,埼玉県,73,男性,特にありません特にありません
20176,長野県,65,男性,鉄道の旅については、どれも興味があり楽しく読ませてもらいました。
20177,東京都,80,男性,「本誌」とはちょっと離れたテーマになりますが、・・・・以前から「JR東」管轄内だけの、紙印刷の時刻表があったらいいな、と
20178,東京都,69,男性,ハイキングおすすめコース掲載
20179,東京都,79,男性,廃線予定まじかの路線状況など知りたい。
20180,神奈川県,68,女性,いつも特集記事を楽しみにしています
20181,茨城県,88,男性,駅弁・各地の郷土料理の記事をお願い致します。
20182,神奈川県,68,女性,秋田のグルメ、お願いします。
20183,神奈川県,66,男性,今後も歴史的ロマンを入れて下さい。
20184,神奈川県,66,男性,埼玉県の特集をお願いします。
20185,東京都,75,男性,なし
20186,宮城県,74,男性,テーマ特集古代不思議探訪特に「北海道・北東北の縄文遺跡群」はタイムリーな企画でしたが、惜しむらくは
20187,東京都,79,女性,tokuni
20188,新潟県,81,男性,高齢者の青春の旅の思い出特集は如何でしょうか
20189,兵庫県,68,女性,いつも興味深く、読ませて頂いております。
20190,静岡県,62,女性,毎月楽しく拝見しております。
20191,静岡県,75,男性,古代不思議探訪タイムリーであり面白かったです。
20192,石川県,69,女性,少し旅行したい気持が出てきたので興味を持って読んでいます
20193,兵庫県,73,女性,特にありません。毎月楽しみにしています。コロナ禍でどこにも行かない生活なのでこの会誌を楽しみに見ています。
20194,岩手県,66,男性,良く練られた企画ぞろいと思います。今後とも魅力的な特集をお願いします。
20195,山梨県,80,男性,遠くへ旅行するするのが躊躇する状況下が続いており、少し落ち着いたら近場から思っています。関東近辺の特集など取り入れていただくとありがたいです。
20196,東京都,76,女性,腰痛がひどくなり、今は旅行はむりですので、会報誌を楽しみに隅から隅まで読んでいます。
20197,静岡県,67,女性,まだ遠くに出かけられないので短い期間で楽しめる旅情報が欲しいです。
20198,東京都,76,男性,相変わらず緊急事態宣言が続き旅行にも出かけられず残念です。会報誌のとどくのが楽しみです。
20199,東京都,68,男性,コロナで出かけないので、特になし
20200,神奈川県,81,男性,特にない
20201,長野県,73,男性,なし
20202,青森県,62,女性,60代、70代とか年代別で読者が行ってみて又何度でも行ってみたい旅先が知りたいです
20203,岐阜県,64,女性,毎号、美しい写真を楽しみにしています
20204,茨城県,69,女性,特にありません
20205,茨城県,72,男性,特にありません
20206,神奈川県,69,男性,今回世界遺産登録された北海道・北東北の縄文遺跡群はタイムリーな記事で興味深かったですが、遺跡の位置関係や関連などの全体像がわかり難いところがあったので、もっと詳しくしてほしかった。
20207,神奈川県,73,男性,いつも楽しく読んでいます
20208,福島県,71,男性,現状で満足
20209,茨城県,68,男性,特になし
20210,三重県,74,男性,いつも楽しんでおります。
20211,長野県,72,男性,日本遺産の列車旅行を計画するのに有益な情報です。
20212,新潟県,63,女性,美しい写真がうれしい
20213,青森県,69,女性,三内丸山遺跡も是川縄文館も地元なのに、一度も行ったことがなく恥ずかしい。これを機会に訪れてみたいです
20214,埼玉県,69,女性,駅弁や名物などの特集をお願いします
20215,宮城県,66,男性,なし
20216,茨城県,71,男性,今回は面白かったです。
20217,神奈川県,62,女性,早く心おきなく旅をしたいので、これからも情報をお願いします。
20218,新潟県,73,男性,テーマ特集がいつもレベルが高くて勉強になり、うれしいです。
20219,新潟県,73,男性,健康ありきで旅が出来ますので健康寿命企画等あると良いです。
20220,東京都,79,女性,特別これあれはありません。
20221,宮城県,68,男性,未だ行った事の無い観光地や未知の探訪紹介等、何時も楽しく拝読しています。
20222,秋田県,71,女性,コロナで外出もままならない今。記事を読んで早く旅ができることを思いながら楽しんでいます。東北の記事は何度も読んでます。
20223,神奈川県,74,男性,地方の魅力を発見できるような記事を楽しみにしています。
20224,愛知県,61,女性,コロナ禍で使えない、何とか会員でいることが楽しくなるようなことを考えて
20225,石川県,73,女性,クロスワードはたのしみです
20226,千葉県,71,男性,◆旅に関する記事の充実
20227,北海道,74,男性,古代ふしぎ探訪で、北海道・北東北縄文遺跡群など紹介記事を読み、古代ロマンを感じ、再度訪れたいと思いました。今後も各種遺跡の紹介を希望します。
20228,秋田県,70,男性,まだ行ったことがない場所、以前訪れた所、どちらの記事も興味津々です。
20229,福岡県,77,女性,コロナ禍が　後の歴史に残る一ページになると思うので、しっかり受け止めて過ごしたく思います。ジバング倶楽部にも後々まで残るよう記して頂きたく思います。
20230,東京都,76,女性,いつも興味深く読ませていただいています。
20231,神奈川県,71,女性,コロナウイルス早く落ち着いてゆっくり旅に行きたいです.プレゼント当たらない
20232,兵庫県,66,女性,写真が美しいです！
20233,静岡県,82,女性,明日新型コロナウイルスワクチンの予約をするため頑張って電話します。2回目はまだ先になります接種終われば安心して旅行に行く事ができます楽しみにしています
20234,東京都,68,女性,各地の公園や緑地を紹介してください
20235,東京都,69,男性,各地のイベント情報を早めに教えてください。
20236,栃木県,65,男性,予約サイトの選択がわかりにくい。
20237,埼玉県,78,男性,クイズ楽しみです
20238,岐阜県,80,女性,女性の一人旅の企画をときどき頂けたらありがたいです。
20239,東京都,73,男性,旅情報がポイントを捉えて簡潔にまとめられていて分かりやすい。
20240,神奈川県,69,女性,こんな時期ですので 旅に出た気持ちになります
20241,新潟県,69,男性,体験型の旅行を紹介して欲しい
20242,長野県,75,男性,ワクチン接種早めにして珍しい取材をお願いします
20243,岩手県,65,女性,同級会で行った三内円山遺跡の大型掘立柱建物は圧巻でした。数学的美しさもあり、感激したのを思い出しました。特集ありがとうございます。
20244,愛知県,76,女性,通販広告が多すぎる
20245,東京都,65,女性,旅の情報を歴史にも広げて幅広く紹介されていて、読み応えがあります。
20246,静岡県,70,男性,国内の秘境探検記事を希望
20247,静岡県,69,男性,ペット連れで鉄道旅，宿泊ができる方法があるかを知りたい．
20248,岐阜県,87,男性,毎号楽しく読んでいます。
20249,茨城県,69,女性,コロナ感染者が少ない、地域の特集がほしい。
20250,静岡県,73,男性,これからも旅の情報を宜しくお願いします。
20251,福島県,74,女性,旅行地で人気の特集　見どころ、温泉、宿なども。
20252,福岡県,81,男性,吉野ケ里遺跡は何回も行っているが古代の生活スタイルが興味深い今後もとりあげてほしい
20253,兵庫県,75,男性,旅の情報が満載で、行ってみたい新たな発見があり毎号楽しみです。
20254,広島県,71,男性,旅と歴史は、深い繋がりがありますが、古代の歴史もよかったです。
20255,東京都,73,女性,実際にはなかなか行けないので、毎号のテーマにそった記事が楽しみです。
20256,東京都,72,女性,いつも興味深い記事が多くて楽しみです。いろいろなところに委託して記事を集めているのかレイアウトや文字などが記事ごとに違っているのももう慣れました。それはそれで新鮮だと思います。
20257,大阪府,71,男性,旅行に行けない2年です貴紙を拝読していった気持ちになっています。早くコロナ終息しないかな！
20258,兵庫県,72,女性,特にありません。
20259,岩手県,75,男性,大きめの写真入り説明で，楽しめます
20260,大阪府,64,女性,出かけられない今、旅行情報がなんとなく白々しく思える。仕方ないのはわかっているけれど。
20261,福島県,66,男性,東北の特集をお願いします。
20262,神奈川県,80,男性,四国巡礼ツアーが毎回掲載されるが興味ある人に資料請求させれば・・と思う。
20263,埼玉県,72,男性,埼玉県行田市に、古墳群があるので、今回は載っていなかったの出残念です。
20264,埼玉県,72,男性,埼玉県行田市に、古墳群があるので、今回は載っていませんが、
20265,広島県,74,女性,いったん廃線となった、ローカル線はもう復活はないのか、なんてのは無理ですね。
20266,広島県,72,女性,コロナ禍　旅行可能地域等　注意点
20267,埼玉県,67,女性,いつか思い立ったら、ここに行けるような記事を載せてください。
20268,神奈川県,69,男性,毎月楽しみにしてます
20269,群馬県,82,女性,いつも綺麗な写真　楽しみにしています。
20270,広島県,77,男性,コロナ禍　旅行可能情報　
20271,東京都,76,女性,特になし
20272,大阪府,72,女性,毎月楽しく拝見しています。
20273,宮城県,67,女性,とても楽しく見ています。コロナがあけたらここに行きたい等、話題の情報源になっています。東北特集も多く、新たな発見がいっぱいです。次の旅行のため、これからも楽しい記事を待っています！
20274,山梨県,71,女性,毎号隅から隅まで読ませて頂き旅行先選びの参考にしています。
20275,東京都,79,男性,毎号隅から隅まで読ませて頂き旅行先選びの参考にしています。
20276,千葉県,70,女性,1つの情報がテーマで日本全国の情報があって素晴らしいと思います。
20277,神奈川県,65,女性,古代ロマンを感じるたびに行きたいと思います。
20278,愛知県,80,男性,東海ツアーズのパンフレットを同封をお願いします。
20279,和歌山県,69,女性,いつも、楽しみにしてます！
20280,広島県,72,男性,楽しく読んでいます　
20281,福岡県,69,女性,旅とクロスワールドパズルいつも楽しみです
20282,富山県,82,女性,観光地に関するコンパクトな紹介が旅心をそそります。
20283,京都府,72,女性,高齢者にも喜ばれる旅行増やして下さい
20284,愛知県,66,女性,知らない事の発見が興味深く、届くのがたのしみ。
20285,福井県,73,女性,今回の記事を読み　コロナが治まったら吉野ヶ里遺跡を　訪れたくなりました
20286,宮城県,70,男性,私は温泉旅好きなので、温泉関係の旅行企画を期待したい。
20287,東京都,84,男性,何れの記事も読みやすく興味を十分そそられた
20288,東京都,67,女性,縄文、弥生の古墳の話が面白かった。
20289,長野県,73,女性,毎号、楽しみにしております。
20290,長野県,81,男性,毎号、楽しみにしております。
20291,兵庫県,80,女性,クロスワードパズルいつも楽しみにしています。これからもよろしくお願いいたします。
20292,千葉県,64,女性,楽しく読ませてもらっています。参考になる記事が多いです。
20293,千葉県,70,男性,今はなかなか出かけられませんが旅行したい気分にさせてくれます。豊富な写真が素晴らしいです。
20294,佐賀県,70,男性,城巡り　国宝巡り　ひとり旅　歴史探訪
20295,長野県,80,男性,巻頭の古代不思議探訪は、良く調査された内容ですが、当方古代には余り興味がないので、訪ねたいとは思いません。
20296,千葉県,72,女性,多岐にわたる記事が掲載されていますが時々は高齢者のファッションも・・・・。
20297,宮城県,77,男性,いつも興味深い記事ありがとうございます。
20298,鹿児島県,78,男性,いつも楽しい企画読ませていただいています。これからもよろしくお願いします。
20299,宮城県,69,男性,コロナ禍の中出かけられないので紙上で旅気分を味わってます。旅行情報今後も一層期待してます。
20300,東京都,78,男性,花の名所を季節ごとに教えてください。
20301,青森県,76,男性,少なくなっている駅弁特集
20302,青森県,62,女性,地元が紹介されてびっくりでした。
20303,神奈川県,67,女性,夏の風物詩特集お願い致します
20304,千葉県,81,男性,謎解！？は古代不思議探訪　非常に楽しく　知的好奇心と未だ訪れていない遺跡には行ってみたい好奇心を満たしてくれました。謎と発見の旅と言う全体テーマとの関連も良かった。
20305,神奈川県,72,男性,プレゼントなかなか当たりませんね
20306,富山県,71,男性,６月北海道旅行を計画、コロナで断念、いいタイミングの企画でした。
20307,岡山県,78,女性,いつもパズルを楽しみにしています。
20308,大阪府,70,女性,プレゼント当選者を増やして欲しい。
20309,長野県,70,男性,鉄道と関連させた企画もの
20310,東京都,71,男性,楽しみにしております。
20311,北海道,67,男性,今回の、古代ふしぎ探訪は、たいへん面白く読ませていただいた。全国にこのような古代ふしぎのしょうかいをしていただけたら面白い。
20312,千葉県,68,男性,たいへん役だった
20313,大阪府,93,男性,コロナの状況下、ワクチンを接種しても、もう旅行に出ることはないと思ってましたが、今月号のテーマは面白かったです。
20314,大阪府,74,女性,今月の「古代不思議探訪」は読みごたえありました。同じ旅行でもこんなテーマをもってするのも楽しそうで、コロナ収束後の旅行の期待がまた増えました。
20315,神奈川県,71,女性,いつも大変興味深い記事ありがとうございます。今後ともよろしくおスーパースーパー。
20316,岐阜県,75,女性,とても好きな記事でした。
20317,静岡県,70,女性,毎月楽しく読ませていただいております。コロナが収まって、安心して旅行が再開できることを願っております。
20318,宮城県,67,女性,五能線沿線を紹介して欲しい
20319,宮城県,68,男性,四国地方の特集をお願いします
20320,青森県,64,女性,通販の商品も沢山掲載されてあり見るのを楽しみにしています
20321,京都府,72,男性,特にない
20322,千葉県,71,男性,コロナで苦しんでいる方々や風評被害で困っている方々の商品やサービスを提供して。
20323,大阪府,75,男性,季節の花の名所紹介
20324,静岡県,62,女性,パズルは楽しいです。
20325,愛知県,67,男性,いま、朱印帳ではなく鉄印帳にはまっています。魅力などの特集をおねがいします。
20326,東京都,70,女性,いつもタイムリーな話題の提供をありがとうございます。コロナ禍で旅行に行けないので、美しい写真とともに旅行した気分にさせていただきました。今後も各地の情報を楽しみにしております。
20327,埼玉県,71,男性,各地の美しいカラー写真を見て、出かけて行きたいなと思っています。
20328,東京都,62,女性,行ったことのある場所が特集されると懐かしく、楽しい思い出がよみがえります。写真で見られるのがとても良いです。
20329,神奈川県,83,男性,健康についての記事が、もう少し有ってもいいと思います。
20330,群馬県,68,女性,ワクチン接種が目前になりやっとお出かけができるかなと思うと嬉しくなります、友だちと花咲線に乗りたいですね。
20331,青森県,69,男性,特になし
20332,大阪府,73,男性,温泉宿情報がもっと欲しい　ご当地名物料理も
20333,愛知県,83,男性,思わぬところで遠い遠い歴を６０年振りに触れあいました
20334,福岡県,72,男性,いつも楽しく拝見しています。
20335,茨城県,70,男性,今月の温泉宿「四万やまぐち館」は新婚旅行の宿でした。当時は海外の新婚旅行が当たり前でしたが，当時お金もなく2泊の小さな旅でした。何十年前と違っていましたね。機会があったらまた行きたいな～。
20336,愛知県,76,女性,金山巨石群、大変良かったです。全国で珍しい地を紹介してほしい。
20337,神奈川県,77,男性,広告はまとめて記載してください。
20338,愛知県,76,女性,金山巨石群、大変良かったです。全国で珍しい地を紹介してほしい。
20339,東京都,71,男性,世界遺産にかかあるところの特集がすきです
20340,青森県,63,女性,旅行したような気分になれるような記事を期待しています。
20341,千葉県,70,女性,通販商品が多くなり、とっても楽しみです。
20342,青森県,66,男性,旅行できるようになった時に備えて情報を蓄えておきたいと思い、楽しく読ませて頂いておりますので、これからも情報となる記事を楽しみにしております。
20343,大阪府,80,男性,今回の「金山巨石群」のような探訪記を要望します
20344,静岡県,70,男性,駅から散歩。駅から歩いて行ける観光場所の特集をお願いします
20345,神奈川県,66,男性,特になし
20346,静岡県,83,男性,毎号楽しく旅を楽しんでおります、コロナの閉塞感より開放されて旅に出たいです
20347,兵庫県,67,女性,コロナウイルスでの感染で、行動自粛のためジパングクラブの会費が無駄になっています。なんとか良い救済方法ありませんか？
20348,兵庫県,73,男性,コロナウイルスでの感染で、行動自粛のためジパングクラブの会費が無駄になっています。なんとか良い救済方法ありませんか？
20349,兵庫県,77,女性,毎月楽しみに記事読んでます。知らないところに行ってみたいと思いながら。
20350,兵庫県,75,男性,毎回、楽しく読まさせていただいております。古い城跡の探訪シリーズも良いと思います。
20351,山口県,80,女性,いつも楽しく拝見しています
20352,愛知県,72,男性,コロナでなかなか旅行に行けなくて雑誌で旅気分を楽しんでいます。歴史ある観光地の
20353,静岡県,83,男性,この所の状況では出掛けることもままならないが紙面の中で旅をして我慢をしているところです。
20354,福岡県,70,女性,アクセス方法を詳しく教えてほしい
20355,愛知県,72,男性,ご当地グルメの紹介、地酒の紹介･購入
